,province,date
0,bangkok,"['20200922', '20201001', '20201008', '20201015', '20201115', '20201122', '20201208', '20201222', '20210101', '20210122', '20210201', '20210222', '20210408', '20210415', '20210422', '20210508', '20210715', '20210822', '20210901', '20210908', '20211008', '20211015', '20211022', '20211208', '20211215', '20211222']"
1,mueang-nonthaburi,"['20200922', '20201001', '20201015', '20201122', '20201208', '20201222', '20210101', '20210122', '20210201', '20210208', '20210222', '20210401', '20210408', '20210415', '20210422', '20210508', '20210622', '20210708', '20210715', '20210822', '20210901', '20210908', '20210915', '20210922', '20211001', '20211008', '20211015', '20211022', '20211208', '20211215', '20211222', '20220115', '20220122']"
2,pathum-thani,"['20200922', '20201015', '20201122', '20210122', '20210208', '20210222', '20210401', '20210408', '20210415', '20210422', '20210508', '20210701', '20210708', '20210715', '20210822', '20210901', '20210915', '20210922', '20211001', '20211008', '20211015', '20211222', '20220122']"
3,lop-buri,"['20200922', '20210208', '20210415', '20210815', '20210901', '20211001', '20220122']"
4,samut-sakhon,"['20201008', '20201022', '20201101', '20201115', '20201208', '20201215', '20201222', '20210101', '20210122', '20210201', '20210222', '20210408', '20210508', '20210908', '20211015', '20211122', '20211201', '20211208', '20211215', '20211222', '20220101', '20220108']"
5,samut-prakan,"['20201015', '20210122', '20210408', '20210508', '20210908', '20211008', '20211215', '20211222']"
6,nakhon-nayok,"['20210208', '20210901']"
7,mae-hong-son,['20210208']
8,sing-buri,"['20210222', '20210915', '20211001', '20211015']"
9,phra-nakhon-si-ayutthaya,"['20210415', '20210601', '20210615', '20210715', '20210815', '20210915', '20211001', '20211015', '20220122']"
10,kamphaeng-phet,"['20210501', '20211022']"
11,nakhon-sawan,"['20210501', '20211001']"
12,uthai-thani,"['20210501', '20210922', '20211001']"
13,chon-buri,['20210508']
14,saraburi,"['20210901', '20220122']"
15,prachin-buri,['20210901']
16,rayong,['20210908']
17,phichit,['20211001']
18,trat,['20211008']
19,kanchanaburi,['20211022']
20,sukhothai,['20211022']
